source_score,head_mode,topic,alpha,n_generations,dw_pred_mean,cfs_pred_mean,bt_pred_mean,dw_pred_std,cfs_pred_std,bt_pred_std
cfs,topk,social media regulation,0.0,5,0.05340327168814838,-0.26868731526877065,-0.6106149034807459,0.1682488359451825,0.3719388205603246,0.4678075764368051
cfs,topk,social media regulation,10.0,5,10.136066428245977,199.63414431039027,36.57134929972235,0.08736794012037487,0.31058284280193665,0.14631396295733987
cfs,topk,social media regulation,20.0,5,21.2181726813782,400.8469012772336,75.19704757139553,0.1396233818377022,0.7218445753852764,0.43159260718538217
cfs,random,immigration,-20.0,5,0.31486094268038867,-5.328855295840871,-1.9192312877625226,0.0016339027696544448,0.004434471138402329,0.0017610064023506047
cfs,random,immigration,-10.0,5,0.37264638184569776,-4.901434305600603,-2.425155253056437,0.0026294283827950128,0.00612374886076831,0.006513597786135234
cfs,random,immigration,0.0,5,-0.16215142381843178,-1.1651347007520276,-0.7450973983155563,0.1350490889650702,0.20745822774286535,0.28030739784705694
cfs,random,immigration,10.0,5,-0.14107316471636294,6.488582749730524,0.9600016105920076,0.0035763967503390833,0.011376006666210485,0.006234085513356222
cfs,random,immigration,20.0,5,-0.19708753414452077,5.602457532346906,0.8401049077510834,0.0005164520431833772,0.0006550063160251972,0.0010726881655859276
cfs,random,abortion,-20.0,5,0.31315542533993723,-5.333025020941655,-1.9222572820261121,0.00046711064342855557,0.0032787772021344555,0.0016810323347307974
cfs,random,abortion,-10.0,5,0.36309411423280835,-4.855322477665237,-2.382986209820956,0.012555217458338564,0.09252760380461462,0.08993441278812164
cfs,random,abortion,0.0,5,-0.38180770745966586,-1.4290293752982772,-0.5545491970027797,0.12285151514301751,0.3750811902726027,0.32658889010868686
cfs,random,abortion,10.0,5,-0.144793694652617,6.487124024660273,0.9603398911654949,0.0023329551416265337,0.0065622182962761745,0.004736070946157686
cfs,random,abortion,20.0,5,-0.19851451106369494,5.601881159266786,0.8388109233230352,0.0010337845453128088,0.002913234358597833,0.0026423623043389543
cfs,random,social media regulation,-20.0,5,0.3143126253038645,-5.335119084411247,-1.9246679278090597,0.0008147863687918476,0.002984638095366826,0.002005349663389072
cfs,random,social media regulation,-10.0,5,0.3732428027316928,-4.926630745214576,-2.4540256883017717,0.0014456215991361784,0.005781566018784303,0.0035288310399873234
cfs,random,social media regulation,0.0,5,0.05340327168814838,-0.26868731526877065,-0.6106149034807459,0.1682488359451825,0.3719388205603246,0.4678075764368051
cfs,random,social media regulation,10.0,5,-0.13539285417646169,6.541759216544382,0.9839025426656007,0.0009398596476234077,0.0020613584236226666,0.003111131333220951
cfs,random,social media regulation,20.0,5,-0.197434888407588,5.611396256850703,0.8457072921097278,0.0016769659623254829,0.0033988017806144276,0.0016592055394957343
bt,topk,immigration,-20.0,5,-21.279959013033658,-50.38928578228087,-163.23271020054818,0.07703750284389795,0.06974741167676678,0.0963055688114115
bt,topk,immigration,-10.0,5,-11.202528955833987,-26.881930552844835,-82.90593285560608,0.08565827381630654,0.25548208550571305,0.2656257675502026
bt,topk,immigration,0.0,5,-0.16215142381843178,-1.1651347007520276,-0.7450973983155563,0.1350490889650702,0.20745822774286535,0.28030739784705694
bt,topk,immigration,10.0,5,11.701439866423607,25.824974896553357,83.24970801770687,0.22980158100425785,0.30797931308457044,0.49384366020007586
bt,topk,immigration,20.0,5,22.563104102481155,50.478275399205884,164.66174590587616,0.21395105605946346,0.47771469100432506,0.4802761054325954
bt,topk,abortion,-20.0,5,-21.362828093441202,-50.858797723986214,-163.32906033992768,0.06076931339093082,0.1624062480082738,0.19241207403868996
