layer,head,spearman_cv
32,2,0.5774291157722473
19,10,0.5766777992248535
19,13,0.5760837197303772
19,24,0.5760080218315125
32,13,0.5739753842353821
18,8,0.573631763458252
21,2,0.5733813047409058
15,23,0.5714127421379089
29,23,0.5712205767631531
17,25,0.5711565017700195
25,29,0.570766270160675
17,1,0.5693102478981018
12,21,0.568558931350708
10,25,0.5677319169044495
12,10,0.5672135353088379
28,8,0.5670388340950012
15,1,0.5666078329086304
10,4,0.5656934380531311
29,15,0.5653672814369202
23,24,0.5653265118598938
25,2,0.564802348613739
25,31,0.5643364191055298
27,29,0.564027726650238
26,3,0.5633870959281921
18,28,0.5628570914268494
17,29,0.5614069104194641
15,26,0.5613952279090881
12,28,0.5611447691917419
20,21,0.5609351396560669
11,26,0.5595256686210632
19,12,0.559502363204956
12,24,0.5594615936279297
25,20,0.5590364336967468
14,2,0.5584656596183777
22,28,0.5576211810112
29,28,0.5574814081192017
28,10,0.5573998689651489
19,30,0.5558680891990662
24,10,0.5558331608772278
13,30,0.5550236105918884
12,25,0.5549828410148621
32,10,0.5547731518745422
16,12,0.5546683669090271
18,25,0.5545227527618408
11,1,0.5537015199661255
22,22,0.5535792112350464
28,22,0.553317129611969
18,5,0.5533055067062378
18,14,0.5501604676246643
31,11,0.5498809218406677
15,28,0.548022985458374
32,23,0.5468523502349854
11,4,0.5455244183540344
31,7,0.5453497171401978
16,10,0.5450002551078796
23,23,0.5444120168685913
31,16,0.5443363189697266
19,6,0.5441673994064331
26,30,0.5438063144683838
14,28,0.5436373949050903
14,21,0.5426997542381287
15,25,0.5422454476356506
22,24,0.5414184331893921
32,27,0.5410282015800476
18,7,0.5408185124397278
28,5,0.5405738949775696
16,18,0.5392460227012634
28,31,0.5392343401908875
11,7,0.5388150215148926
28,2,0.5386577844619751
17,11,0.5385995507240295
9,22,0.5374987721443176
32,9,0.5374055504798889
26,4,0.5369279980659485
14,17,0.5367998480796814
30,1,0.5361242890357971
20,1,0.5361126065254211
24,17,0.5355069041252136
31,32,0.5344876646995544
19,21,0.5336606502532959
32,14,0.5325016379356384
24,27,0.5314591526985168
10,5,0.5309990048408508
12,12,0.5307776927947998
17,27,0.5302302241325378
28,23,0.5300030708312988
24,25,0.5298866033554077
25,17,0.5295255184173584
16,11,0.5283781290054321
30,18,0.5282208919525146
13,15,0.5279646515846252
15,24,0.5277316570281982
13,11,0.5274055004119873
11,11,0.5265318751335144
20,3,0.5263979434967041
11,12,0.5257747769355774
27,31,0.5256116986274719
13,14,0.525600016117096
19,31,0.5255301594734192
14,4,0.5252680778503418
15,15,0.5240449905395508
20,4,0.5227869749069214
30,26,0.5225715041160583
29,31,0.5210222601890564
11,21,0.5188149213790894
17,7,0.5186401605606079
24,6,0.5184887647628784
27,24,0.5179470777511597
14,3,0.5173122882843018
26,9,0.5162872076034546
18,10,0.5150991082191467
30,3,0.5146681070327759
26,16,0.5131247043609619
