layer,head,spearman_cv
23,13,0.37418970465660095
8,9,0.37268707156181335
32,3,0.3721221387386322
29,18,0.3704739212989807
25,14,0.3674803078174591
27,18,0.3651215136051178
32,19,0.3651040494441986
30,12,0.361341655254364
19,29,0.3609572649002075
14,30,0.35953032970428467
21,18,0.35952451825141907
26,20,0.3588838577270508
28,4,0.35629212856292725
15,6,0.35364213585853577
21,17,0.3534674048423767
15,7,0.3527102768421173
19,23,0.3524540066719055
21,22,0.35167357325553894
26,32,0.3497166633605957
9,3,0.34853434562683105
13,19,0.3484586477279663
9,10,0.3481150269508362
27,12,0.3480975329875946
19,21,0.3472472131252289
29,2,0.3463444709777832
21,11,0.34580865502357483
27,15,0.3456222712993622
25,12,0.34351977705955505
19,32,0.343339204788208
23,27,0.34100955724716187
18,31,0.3406018614768982
26,14,0.3402000069618225
19,31,0.3401941657066345
21,24,0.3399961590766907
23,15,0.33979231119155884
13,32,0.3392157256603241
18,9,0.33639100193977356
11,13,0.33553487062454224
11,19,0.3324655294418335
29,4,0.33204036951065063
8,6,0.33113181591033936
20,17,0.3308522403240204
30,20,0.3297048807144165
9,27,0.3290700614452362
19,25,0.3289477527141571
32,7,0.32838863134384155
7,11,0.32711315155029297
21,21,0.32591918110847473
17,18,0.3253367841243744
21,4,0.3245912790298462
9,5,0.3193437457084656
8,11,0.3190700113773346
30,21,0.31863319873809814
20,8,0.31840023398399353
9,2,0.31789353489875793
19,30,0.3178294599056244
23,10,0.31636759638786316
16,13,0.3160414397716522
17,19,0.31598901748657227
32,29,0.3153308928012848
21,10,0.3129080533981323
7,23,0.3120286166667938
18,6,0.31125980615615845
9,18,0.3099552094936371
26,26,0.30798083543777466
29,19,0.30761390924453735
16,15,0.30421844124794006
27,4,0.30360689759254456
23,19,0.30309435725212097
14,6,0.3029487729072571
31,4,0.30174317955970764
14,5,0.2990407645702362
6,20,0.29859814047813416
21,9,0.29814383387565613
15,8,0.29787009954452515
15,18,0.297806054353714
16,16,0.2977070212364197
28,28,0.29200518131256104
31,27,0.29057246446609497
22,8,0.28911641240119934
10,12,0.28735753893852234
20,7,0.28708961606025696
7,10,0.2856801748275757
29,30,0.28535401821136475
11,16,0.28385138511657715
7,1,0.28374072909355164
7,21,0.28208667039871216
30,19,0.28170228004455566
27,17,0.27969878911972046
7,4,0.27886009216308594
14,29,0.27834174036979675
6,32,0.27795735001564026
8,1,0.27683329582214355
15,31,0.27569758892059326
20,19,0.2751617729663849
11,17,0.27499285340309143
8,22,0.27156245708465576
25,26,0.2704267203807831
19,26,0.26756706833839417
29,3,0.2671477496623993
32,31,0.26555773615837097
7,9,0.2652432322502136
31,3,0.264788955450058
22,27,0.2620224952697754
6,29,0.2591046094894409
25,13,0.25781744718551636
15,29,0.25695547461509705
19,2,0.2555111050605774
27,2,0.2540201246738434
27,14,0.25396186113357544
27,20,0.2503567337989807
21,14,0.24846388399600983
26,25,0.24668169021606445
8,5,0.24572071433067322
29,1,0.24490532279014587
21,19,0.24308237433433533
9,6,0.240752711892128
8,18,0.24070028960704803
6,26,0.24058963358402252
2,29,0.239983931183815
20,18,0.23945975303649902
24,31,0.23908118903636932
27,10,0.23581966757774353
25,6,0.23302990198135376
18,32,0.2305954098701477
9,31,0.22681553661823273
22,7,0.22650685906410217
23,4,0.22489356994628906
2,32,0.22291918098926544
29,27,0.22224940359592438
31,25,0.22132335603237152
23,30,0.22104381024837494
23,26,0.22100304067134857
9,19,0.21876655519008636
23,29,0.21829479932785034
6,6,0.21692612767219543
22,29,0.21428197622299194
31,9,0.21380439400672913
27,5,0.2122260481119156
9,7,0.21176594495773315
32,6,0.2115737497806549
23,11,0.21138153970241547
1,17,0.2090926617383957
22,26,0.2059650868177414
15,19,0.2053302526473999
7,12,0.2010844498872757
9,8,0.19549328088760376
22,19,0.19427020847797394
6,30,0.19229581952095032
10,8,0.19010011851787567
21,32,0.18854506313800812
21,12,0.1883179247379303
7,6,0.18614552915096283
29,26,0.18595914542675018
19,27,0.18434585630893707
6,7,0.18160851299762726
4,19,0.18088631331920624
26,28,0.1808222532272339
8,2,0.1803097277879715
8,27,0.17960500717163086
9,32,0.176419198513031
6,19,0.17488162219524384
2,1,0.17249955236911774
7,5,0.17007669806480408
30,24,0.169406920671463
23,2,0.16833528876304626
1,18,0.16808484494686127
1,19,0.16786935925483704
22,12,0.16582508385181427
22,17,0.16537079215049744
24,11,0.1623946577310562
8,24,0.16131135821342468
6,14,0.15997181832790375
9,20,0.15897005796432495
10,10,0.15871380269527435
18,20,0.158172145485878
8,26,0.15806148946285248
4,23,0.15756644308567047
20,20,0.15347206592559814
1,12,0.15268580615520477
7,17,0.15093274414539337
26,27,0.15086866915225983
27,6,0.15068230032920837
24,15,0.1504085659980774
25,8,0.14910978078842163
1,26,0.14636078476905823
23,3,0.14531244337558746
18,29,0.143157497048378
1,27,0.14210915565490723
6,18,0.14173641800880432
19,3,0.1406298279762268
23,32,0.14046092331409454
9,30,0.13936598598957062
22,25,0.13841082155704498
19,1,0.1377759873867035
32,5,0.13680335879325867
7,31,0.13295359909534454
13,8,0.13283711671829224
8,28,0.13058316707611084
21,31,0.1303676813840866
7,30,0.1302570253610611
31,26,0.12633153796195984
1,20,0.1260053962469101
22,5,0.12372814863920212
8,3,0.12304089963436127
31,1,0.12279628962278366
7,32,0.12259826809167862
8,25,0.12142761796712875
5,16,0.11793312430381775
2,15,0.11788653582334518
27,8,0.11780499666929245
23,31,0.11613929271697998
22,4,0.11401930451393127
1,5,0.11088008433580399
7,8,0.11085096746683121
6,21,0.10945317149162292
2,31,0.10816603153944016
9,28,0.10800296068191528
6,24,0.10438033938407898
1,13,0.10403671860694885
16,14,0.10394935309886932
6,31,0.10069365799427032
8,19,0.10069365799427032
3,9,0.10018695145845413
8,4,0.10012289136648178
10,29,0.09277863800525665
3,23,0.0910838171839714
4,2,0.08941228687763214
31,28,0.08876580744981766
4,22,0.08870173990726471
7,2,0.08824745565652847
32,32,0.08765921741724014
27,11,0.08605758100748062
4,1,0.08549845963716507
6,17,0.08373374491930008
1,25,0.08251649886369705
5,11,0.08190496265888214
6,1,0.08161957561969757
7,3,0.08153804391622543
5,21,0.08021596074104309
6,15,0.07551587373018265
7,7,0.0738152265548706
25,7,0.071578748524189
9,26,0.07030908763408661
2,16,0.06973832100629807
6,13,0.06940634548664093
1,28,0.0690743699669838
7,19,0.06801437586545944
23,7,0.06657581031322479
8,21,0.06323857605457306
1,7,0.06314539164304733
22,11,0.06301143020391464
4,7,0.06270857900381088
23,28,0.0598081536591053
24,16,0.05695432052016258
1,4,0.056237950921058655
6,9,0.0556846559047699
21,13,0.05552158132195473
22,10,0.055422570556402206
1,6,0.05253962054848671
8,20,0.05209115892648697
5,13,0.05027402564883232
21,16,0.04877139627933502
5,23,0.048305463045835495
3,22,0.04605734348297119
4,32,0.04369274154305458
7,25,0.042935602366924286
13,6,0.041997913271188736
3,21,0.04161934554576874
7,29,0.04118835926055908
1,8,0.037781234830617905
5,12,0.03726288303732872
7,18,0.035777729004621506
22,6,0.035568058490753174
1,14,0.035364214330911636
6,16,0.03424597531557083
4,21,0.0312814861536026
4,8,0.02895182929933071
8,23,0.02817721664905548
15,17,0.025655362755060196
3,16,0.02384987659752369
13,7,0.02291218936443329
21,15,0.02191043645143509
6,3,0.021863842383027077
2,14,0.020390333607792854
31,8,0.018014082685112953
1,1,0.013576083816587925
2,3,0.013180041685700417
3,4,0.008683801628649235
9,25,0.008380945771932602
5,24,0.00653469143435359
2,21,0.006161946337670088
5,22,0.004915579222142696
24,13,0.004292395431548357
6,22,0.002562624169513583
22,20,0.0022655928041785955
2,7,0.0012463672319427133
2,4,-0.0006406560423783958
20,9,-0.002364603104069829
1,15,-0.0030693248845636845
8,17,-0.007122930139303207
24,30,-0.007984903641045094
10,11,-0.008322704583406448
7,20,-0.009545775130391121
13,5,-0.011065877042710781
5,6,-0.011223128996789455
4,30,-0.012585978955030441
2,11,-0.012679165229201317
1,16,-0.013308173045516014
